query_id,query,gold_passage,hit_at_1,hit_at_5,mrr_score,ndcg_at_10,recall_at_10
15926,a bacterial infection is elevation of what,Get help from a doctor now ›. Typically no: Bacterial vaginosis (BV) is a more l,0,1,0.5,0.6309297535714575,1.0
17520,what is the crisis of representation,CRISIS OF REPRESENTATION. This phrase was coined by George Marcus and Michael Fi,1,1,1.0,1.0,1.0
15534,what does hacker mean,He prefers the term cracker for this meaning. 2) The term hacker is used in popu,1,1,1.0,1.0,1.0
10185,difference between alimentary canal and accessory organs,The difference between the alimentary canal and digestive system is that .. The ,1,1,1.0,1.0,1.0
13537,meaning of name courtney,French Meaning: The name Courtney is a French baby name. In French the meaning o,1,1,1.0,1.0,1.0
16180,does anxiety have anything to do with adhd,Anxiety is considered to be a common co-existing condition with ADHD. Children a,1,1,1.0,1.0,1.0
17565,what enzymes are found in liver tissues,Liver tests check the blood for two main liver enzymes: 1  Aspartate aminotransf,1,1,1.0,1.0,1.0
10037,what is a nether crystal,Nether Quartz is an item obtained from the mining or smelting of Nether Quartz O,1,1,1.0,1.0,1.0
9854,what is sherry wine made of,The simplest answer is that Sherry is fortified (generoso) wine made from white ,1,1,1.0,1.0,1.0
15384,carbohydrates are stored in the liver and muscles in the form of,Glycogen. a highly branched polysaccharide composed of glucose that is made and ,1,1,1.0,1.0,1.0
14105,what is eskrima,Eskrima (also known as Arnis and Kali) is a weapons based martial art which come,1,1,1.0,1.0,1.0
13844,when did the anthropocene begin,"Hence, we suggest that the Anthropocene (formal or informal) be defined to begin",1,1,1.0,1.0,1.0
17085,how long does it take for methotrexate to work for arthritis,It can take 3 to 6 weeks to start to feel your methotrexate work. It takes even ,1,1,1.0,1.0,1.0
9765,what is a pear shaped diamond called,"Pear Cut Diamond. Exuding elegance, the pear shape diamond (also referred to as ",1,1,1.0,1.0,1.0
17943,are quarks made of other particles,Quarks are one type of matter particle. Most of the matter we see around us is m,1,1,1.0,1.0,1.0
11426,what does ambassador mean in the bible,Dictionaries-Easton's Bible Dictionary-Ambassador. In the Old Testament the Hebr,1,1,1.0,1.0,1.0
