question,domain,difficulty,hit_at_1,hit_at_5,mrr_score,ndcg_at_10,recall_at_10
What does the OSI model provide for the coordination of standards development?,computer_networks,factual,1,1,1.0,1.0,1.0
What kind of delivery does TCP provide?,computer_networks,factual,0,0,0.1111,0.301,1.0
What can be inferred about the relationship between TCP and the Internet Protocol (IP)?,computer_networks,inferential,0,1,0.25,0.4307,1.0
What happens to data that is lost during transmission?,computer_networks,factual,0,0,0.1667,0.3562,1.0
When was Internet Protocol version 4 (IPv4) first specified?,computer_networks,factual,0,1,0.3333,0.5,1.0
What layer of the OSI model does a MAC Bridge forward data at?,computer_networks,factual,1,1,1.0,1.0,1.0
What type of technology is often connected to an end-user device in small office/home office (SOHO) applications?,computer_networks,inferential,1,1,1.0,1.0,1.0
How does the term 'database' get used loosely?,database_systems,factual,1,1,1.0,1.0,1.0
What is the benefit of having a fully normalized database?,database_systems,inferential,0,1,0.5,0.6309,1.0
Can a logical ER model be developed without a conceptual ER model?,database_systems,inferential,1,1,1.0,1.0,1.0
How do some NoSQL systems prevent data loss through lost writes?,database_systems,factual,0,1,0.5,0.6309,1.0
Why is it important to pay attention to the right benchmarks when evaluating the performance of NoSQL databases?,database_systems,inferential,0,0,0.0,0.0,0.0
What happens to a transaction if a single operation in the series fails?,database_systems,factual,0,0,0.0,0.0,0.0
What is the goal of concurrent implementations of transaction processing?,database_systems,factual,0,1,0.2,0.3869,1.0
What is affected by the CPU path length in the cost estimation of query plans?,database_systems,inferential,1,1,1.0,1.0,1.0
What type of models are typically used for images and audio?,generative_ai,factual,1,1,1.0,1.0,1.0
How will the most powerful AI system be different from current systems?,generative_ai,inferential,1,1,1.0,1.0,1.0
What is the purpose of a validation set in supervised learning?,machine_learning,factual,0,1,0.25,0.4307,1.0
What type of learning algorithm is required to learn a highly complex function from a large amount of training data?,machine_learning,factual,1,1,1.0,1.0,1.0
What can happen to the learning algorithm if the desired output values are often incorrect?,machine_learning,factual,0,1,0.5,0.6309,1.0
What is the purpose of the heap in a process?,operating_systems,factual,0,0,0.1,0.2891,1.0
What happens to a process in the 'running' state if it needs to wait for a resource?,operating_systems,factual,0,1,0.25,0.4307,1.0
Why do embedded systems and other special-purpose computer systems sometimes opt not to use virtual memory?,operating_systems,inferential,0,1,0.5,0.6309,1.0
What is the primary purpose of using semaphores in a real-world system?,operating_systems,inferential,1,1,1.0,1.0,1.0
Can following the rules of requesting and releasing resources prevent multi-resource deadlock?,operating_systems,inferential,1,1,1.0,1.0,1.0
What is a characteristic of fixed-size blocks allocation?,operating_systems,factual,0,0,0.1667,0.3562,1.0
Which operating system has the least number of system calls?,operating_systems,factual,0,1,0.5,0.6309,1.0
