query_id,query,gold_passage,hit_at_1,hit_at_5,mrr_score,ndcg_at_10,recall_at_10
16370,what is erythema and what causes it,"Erythema (from the Greek erythros, meaning red) is redness of the skin or mucous",1,1,1.0,1.0,1.0
16807,gestation period horses and cows,"This is similar to the pregnancy period of a woman,  which is closer to around 9",1,1,1.0,1.0,1.0
15957,what is mahlab made from,Mahleb or Mahlab is an aromatic spice made from the seeds of a species of cherry,1,1,1.0,1.0,1.0
17948,average salary of a mortgage collector in california,"Salary Outlook. Bill collectors earned a median salary of $32,920 in 2013, or $1",1,1,1.0,1.0,1.0
9656,what is vitamin a used for,"Vitamin A is also used for shigellosis, diseases of the nervous system, nose inf",1,1,1.0,1.0,1.0
16637,what to do when a child does not listen,What you may not realize is that children love it when they please their parents,1,1,1.0,1.0,1.0
12137,how much rain does a wetland get,Most freshwater wetlands are located on the outskirts of large bodies of water o,1,1,1.0,1.0,1.0
10367,what is a polygenic trait,"A polygenic trait, is a trait that nonallelic genes control. These traits result",1,1,1.0,1.0,1.0
13923,where can i find a notary republic greenfield indiana,"Notary Public in Greenfield, Indiana. Welcome to the notary public and signing a",1,1,1.0,1.0,1.0
15799,what is crest disease,CREST syndrome: Introduction. CREST syndrome is a type of systemic scleroderma a,1,1,1.0,1.0,1.0
14414,what was the outcome of francisco pizarro exploration,"Accomplishments. On September 13, 1524, Francisco Pizarro went on his first expe",1,1,1.0,1.0,1.0
14146,what is carbon & where is it found,Carbon is a Group 14 element and is distributed very widely in nature. It is fou,1,1,1.0,1.0,1.0
17602,can leopard geckos dig,Geckos generally dig to create hideaways so that they can survive without any di,1,1,1.0,1.0,1.0
17971,how much does someone with a masters in public health make,"Typically, a Masters in Public Health Salary can range from $33,500 to $165,000,",1,1,1.0,1.0,1.0
18215,can the electric be updated in kitchen and not the rest of house,"Cost of Redoing the Electrical in a House. In older homes, even changing an outl",1,1,1.0,1.0,1.0
10430,do female serial killers exist,The Role of Psychopathy and Sexuality in a Female Serial Killer INTRODUCTION. Wh,1,1,1.0,1.0,1.0
11458,why is hydroxychloroquine prescribed for lupus,"Hydroxychloroquine (Plaquenil), chloroquine (Aralen), and quinacrine (Atabrine) ",1,1,1.0,1.0,1.0
15123,what is chimichurri,10 most extreme places on Earth. Chimichurri is an herb condiment sauce that is ,1,1,1.0,1.0,1.0
13723,what are amino acids used for,What amino acids can be used for. Amino acids are at the basis of all life proce,1,1,1.0,1.0,1.0
11418,what is the middle avg cost for laminate flooring,Average Price Range. Cheap laminate flooring starts at less than $1 per square f,1,1,1.0,1.0,1.0
13872,what bacteria does doxycycline treat,Doxycycline is a tetracycline antibiotic. It fights bacteria in the body. Doxycy,1,1,1.0,1.0,1.0
14088,description and function of thymus gland,Thymus. The thymus gland is the main organ of the lymphatic system. Located in t,1,1,1.0,1.0,1.0
18505,what is a sound barrier,Definition of SOUND BARRIER. : a sudden large increase in aerodynamic drag that ,1,1,1.0,1.0,1.0
9676,what is a purified phytochemical,"The Phytochemical Evolution. Phytochemicals, by the strictest definition, are ch",1,1,1.0,1.0,1.0
9677,definition of IBR disease,Infectious Bovine Rhinotracheitis (IBR) in cattle. Infectious bovine rhinotrache,1,1,1.0,1.0,1.0
11807,what is lithotomy position,Lithotomy position. The lithotomy position is a medical term referring to a comm,1,1,1.0,1.0,1.0
13196,definition of citizenism,1 Citizenism places substantially greater weight on the rights and interests of ,1,1,1.0,1.0,1.0
13483,how to map excel data to outlook contacts,To import Excel data into Outlook 1  : Arrange the Excel data in the traditional,1,1,1.0,1.0,1.0
17452,average per square foot cost to build in Kelowna,"Making the world better, one answer at a time. The average cost per square foot ",1,1,1.0,1.0,1.0
9682,bulimia nervosa age range,Bulimia Nervosa Overview. Bulimia nervosa (bulimia) is characterized by repeated,1,1,1.0,1.0,1.0
10180,escitalopram dosage for depression,Dosing Recommendations for Lexapro. The recommended starting dose of Lexapro for,1,1,1.0,1.0,1.0
14480,what is the purpose of fica and why was it established,"Purpose of FICA. The Social Security Act was established on Aug. 14, 1935 by Pre",1,1,1.0,1.0,1.0
10373,what is a gluten allergy,A gluten allergy—not to be confused with gluten sensitivity or celiac disease—is,1,1,1.0,1.0,1.0
17797,what is a carbonyl group,"For carbonyl as a ligand, see Metal carbonyl. A compound containing a carbonyl g",1,1,1.0,1.0,1.0
9687,at what age do males hit puberty,"Although there is a wide range of normal ages, girls typically begin the process",1,1,1.0,1.0,1.0
15161,when is barley harvested in israel,In ancient Israel the primary harvest season extended from April to November. Th,1,1,1.0,1.0,1.0
10602,what is jacketing,Definition. The surrounding of a pipe or vessel by a confined bath or stream of ,1,1,1.0,1.0,1.0
13207,what is the origin of the name quirino,"Meaning of Quirino. Spanish name. In Spanish, the name Quirino means-the name of",1,1,1.0,1.0,1.0
15991,can i play games without nvidia drivers installed,NVIDIA 3D Vision ® automatically transforms hundreds of PC games into full 3D ri,1,1,1.0,1.0,1.0
15547,The minimum amount of carbohydrate needed for the brain to function efficiently is,Carbohydrate (glucose) is your body's favorite energy source. Many organs in the,1,1,1.0,1.0,1.0
18755,what thickness is caesarstone nougat,Available Thickness: 2cm and 3cm. Slab Size: 120” x 56.5”. Caesarstone Nougat 66,1,1,1.0,1.0,1.0
15477,where does author's name go in a citation for a website,MLA format follows the author-page method of in-text citation. This means that t,1,1,1.0,1.0,1.0
11166,how many points to suspend license in bc,":). vrecksler. 08-23-2005, 11:21 AM. If you receive 14 points in one year your l",1,1,1.0,1.0,1.0
15906,cost of attendance snhu,1 2014-2015 tuition & fees are official from US department of education. 2015-20,1,1,1.0,1.0,1.0
15832,will burning incense set off the fire alarm,"Any type of smoke, steam or particles denser than air will set off a smoke alarm",1,1,1.0,1.0,1.0
10577,how to use movie maker,Importing photo and audio files into Windows Movie Maker is simple and requires ,1,1,1.0,1.0,1.0
15303,which is the southernmost part of india,"Southernmost Point of India. Indira Point, the southernmost tip of the Great Nic",1,1,1.0,1.0,1.0
17463,how long is panama canal,The Panama Canal is about 82 km (51 mi) long. The Panama Canal is roughly 48 mil,1,1,1.0,1.0,1.0
15434,average temperatures in sedona az,Most / Least Educated Cities in AZ. The average temperature of Sedona is 48.85°F,1,1,1.0,1.0,1.0
9703,meaning of the name darcy,Darcy /dar-cy/ [2 sylls.] as a boys' name (also used as girls' name Darcy) is of,1,1,1.0,1.0,1.0
19339,what body system does an insulin pump help with,"Pumps can be programmed to releases small doses of insulin continuously (basal),",1,1,1.0,1.0,1.0
11570,how long after diving before you can fly,"According to Diver's Alert Network (DAN), the current minimum recommended wait t",1,1,1.0,1.0,1.0
14138,what is the age limit for life insurance,"Making the world better, one answer at a time. The age limit for elderly life in",1,1,1.0,1.0,1.0
17478,what is becker's muscular dystrophy,(July 2011). Becker muscular dystrophy (also known as Benign pseudohypertrophic ,1,1,1.0,1.0,1.0
18230,define noun phrase,noun phrase. Noun. (plural noun phrases). ( 1 grammar) A phrase that can serve a,1,1,1.0,1.0,1.0
10859,name meanings indigo,"Meaning of Indigo. Latin-American name. In Latin-American, the name Indigo means",1,1,1.0,1.0,1.0
10690,example of a dictatorship,noun. The definition of a dictatorship is an office or government under absolute,1,1,1.0,1.0,1.0
12763,does earthpaste contain lead,"Prop 65 lists of over 900 substances, including lead, that businesses are requir",1,1,1.0,1.0,1.0
15840,female five weeks after birth height,Do not panic if your baby loses weight after delivery. Newborn babies normally l,1,1,1.0,1.0,1.0
16393,what is the relationship between temperature and altitude,What is the relationship between temperature and altitude in the stratosphere? (,1,1,1.0,1.0,1.0
18222,personal service provider definition,PERSONAL SERVICE PROVIDERS. With effect 1 March 2009 the definition of a PERSONA,1,1,1.0,1.0,1.0
9716,what is highest fico score,Fair Isaac Corporation developed the FICO score 27 years ago (1987). Since that ,0,1,0.5,0.6309297535714575,1.0
